text,channel_id
"США передали Украине промышленные 3D-принтеры, способные печатать запчасти для техники, заявил помощник министра обороны США Уильям ЛаПлант.

Подписаться|Реклама|Поддержать",1397951851
"Украина получила от США 3D-принтеры для печати деталей к военной технике

Об этом сообщил помощник министра обороны США по вопросам закупок Уильям ЛаПлант. Украинские военные уже завершили обучение пользованию устройствами.

🚀 Подписаться / Eng Twitter / YouTube / Eng Тelegram",1722167948
"👀 Новая ключевая ставка в 13% не затронет сотрудников IТ-компаний и не повлияет на их льготную ипотеку, рассказали в Минцифре.

Опять айтишники в шоколаде

👉 Подпишись на Ленту дня",1115468824
"В TikTok набрало популярность милое видео, где незрячая девочка идеально попадает в ритм песни из «Моаны».

Видео попалось американской ютуберше «Мисс Рэйчел», которая снимает образовательный контент для детей. Она решила поддержать увлечение маленькой Алайны и задонатила $2000, чтобы родители купили ей барабанную установку и оплатили уроки",1096963058